timestamp,scene_number,scene_snapshot_number,scene_snapshot_path,subtitle,cleaned_subtitle,snapshot_desc,profanity_present,nudity_present,should_censor
10591,,,,"[Gate rumbling, chains rattling]",,,False,False,False
42457,,,,[Horse snorts],,,False,False,False
57472,,,,"[Rumbling, chain rattling]",,,False,False,False
104018,,,,[Wind whistling],,,False,False,False
117031,,,,"- Easy, boy.
- [Grunts]",,,False,False,False
180804,,,,[Horse whinnies],,,False,False,False
192274,,,,"[Man] What do you expect?
They're savages.",,,False,False,False
194442,,,,"One lot steals a goat from another lot,",,,False,False,False
196945,,,,"before you know it
they're ripping each other to pieces.",,,False,False,False
199405,,,,I've never seen wildlings do a thing like this.,,,False,False,False
201991,,,,"I never seen a thing like this,
not ever in my life.",,,False,False,False
204286,,,,"- [Horse snorts]
- How close did you get?",,,False,False,False
206579,,,,"- Close as any man would.
- We should head back to the Wall.",,,False,False,False
212627,,,,Do the dead frighten you?,,,False,False,False
214211,,,,Our orders were to track the wildlings.,,,False,False,False
216465,,,,"We tracked them.
They won't trouble us no more.",,,False,False,False
219800,,,,You don't think he'll ask us how they died?,,,False,False,False
224472,,,,Get back on your horse.,,,False,False,False
227851,,,,"[Sighs, mutters]",,,False,False,False
230978,,,,"Whatever did it to them
could do it to us.",,,False,False,False
233607,,,,They even killed the children.,,,False,False,False
236150,,,,It's a good thing we're not children.,,,False,False,False
239529,,,,"You want to run away south,
run away.",,,False,False,False
242448,,,,"Of course,
they will behead you as a deserter.",,,False,False,False
245494,,,,If I don't catch you first.,,,False,False,False
249997,,,,Get back on your horse.,,,False,False,False
252417,,,,I won't say it again.,,,False,False,False
272395,,,,[Shrill animal call],,,False,False,False
285866,,,,"Your dead men seem
to have moved camp.",,,False,False,False
289078,,,,They were here.,,,False,False,False
294126,,,,See where they went.,,,False,False,False
311225,,,,[Echoing creature cries],,,False,False,False
342299,,,,What is it?,,,False,False,False
345468,,,,It's...,,,False,False,False
347679,,,,"[Cracking, creaking]",,,False,False,False
351891,,,,[Distant scream],,,False,False,False
354102,,,,[Horses neighing],,,False,False,False
356395,,,,[Galloping hooves],,,False,False,False
386802,,,,[Snarling],,,False,False,False
389763,,,,[Chittering],,,False,False,False
